accesstoreverseshell,webreconsuccesful,accesstoexecutearbitrarycode,accesstosensitivefiles,accesstomysql,Result
2,2,0,1,2,60
2,2,0,2,0,0
2,2,0,2,1,200
2,2,0,2,2,0
2,2,1,0,0,Infinity
2,2,1,0,1,Infinity
2,2,1,0,2,Infinity
2,2,1,1,0,Infinity
2,2,1,1,1,Infinity
2,2,1,1,2,Infinity
2,2,1,2,0,Infinity
2,2,1,2,1,Infinity
2,2,1,2,2,Infinity
2,2,2,0,0,0
2,2,2,0,1,200
2,2,2,0,2,0
2,2,2,1,0,60
2,2,2,1,1,260
2,2,2,1,2,60
2,2,2,2,0,0
2,2,2,2,1,200
2,2,2,2,2,0
