a72,a73,a4,a24,a8,a63,a1,a82,a6,a7,a62,a2,Result
0,0,0,0,0,1,1,0,1,0,1,0,190
0,0,0,0,0,1,1,0,1,0,1,1,690
0,0,0,0,0,1,1,0,1,1,0,0,200
0,0,0,0,0,1,1,0,1,1,0,1,700
0,0,0,0,0,1,1,0,1,1,1,0,230
0,0,0,0,0,1,1,0,1,1,1,1,730
0,0,0,0,0,1,1,1,0,0,0,0,150
0,0,0,0,0,1,1,1,0,0,0,1,650
0,0,0,0,0,1,1,1,0,0,1,0,180
0,0,0,0,0,1,1,1,0,0,1,1,680
0,0,0,0,0,1,1,1,0,1,0,0,190
0,0,0,0,0,1,1,1,0,1,0,1,690
0,0,0,0,0,1,1,1,0,1,1,0,220
0,0,0,0,0,1,1,1,0,1,1,1,720
0,0,0,0,0,1,1,1,1,0,0,0,180
0,0,0,0,0,1,1,1,1,0,0,1,680
0,0,0,0,0,1,1,1,1,0,1,0,210
0,0,0,0,0,1,1,1,1,0,1,1,710
0,0,0,0,0,1,1,1,1,1,0,0,220
0,0,0,0,0,1,1,1,1,1,0,1,720
0,0,0,0,0,1,1,1,1,1,1,0,250
0,0,0,0,0,1,1,1,1,1,1,1,750
0,0,0,0,1,0,0,0,0,0,0,0,20
0,0,0,0,1,0,0,0,0,0,0,1,520
0,0,0,0,1,0,0,0,0,0,1,0,50
0,0,0,0,1,0,0,0,0,0,1,1,550
0,0,0,0,1,0,0,0,0,1,0,0,60
0,0,0,0,1,0,0,0,0,1,0,1,560
0,0,0,0,1,0,0,0,0,1,1,0,90
0,0,0,0,1,0,0,0,0,1,1,1,590
0,0,0,0,1,0,0,0,1,0,0,0,50
0,0,0,0,1,0,0,0,1,0,0,1,550
0,0,0,0,1,0,0,0,1,0,1,0,80
0,0,0,0,1,0,0,0,1,0,1,1,580
0,0,0,0,1,0,0,0,1,1,0,0,90
0,0,0,0,1,0,0,0,1,1,0,1,590
0,0,0,0,1,0,0,0,1,1,1,0,120
0,0,0,0,1,0,0,0,1,1,1,1,620
0,0,0,0,1,0,0,1,0,0,0,0,40
0,0,0,0,1,0,0,1,0,0,0,1,540
0,0,0,0,1,0,0,1,0,0,1,0,70
0,0,0,0,1,0,0,1,0,0,1,1,570
0,0,0,0,1,0,0,1,0,1,0,0,80
0,0,0,0,1,0,0,1,0,1,0,1,580
